Cluster_number,MA_IDs_included,TF_names_included,Representative_MA_ID,n_members
48,MA0655.1;MA1134.1;MA1135.1;MA1137.1;MA1138.1;MA1142.1;MA1144.1;MA1134.2;MA0490.3;MA1135.2;MA0477.3;MA1137.2;MA1138.2;MA1144.2,JDP2;FOS::JUNB;FOSB::JUNB;FOSL1::JUNB;FOSL2::JUNB;FOSL1::JUND;FOSL2::JUND;FOS::JUNB;JUNB;FOSB::JUNB;FOSL1;FOSL1::JUNB;FOSL2::JUNB;FOSL2::JUND,MA1144.1,14
49,MA0696.1;MA0697.1;MA0751.1;MA1584.1;MA1585.1;MA1628.1;MA1629.1;MA0697.2;MA1628.2;MA1629.2;MA0697.3;MA0751.2;MA1584.2;MA1585.2,ZIC1;ZIC3;ZIC4;ZIC5;ZKSCAN1;Zic1::Zic2;Zic2;Zic3;Zic1::Zic2;Zic2;Zic3;ZIC4;ZIC5;ZKSCAN1,MA0697.2,14
50,MA0007.1;MA0113.1;MA0007.2;MA0113.2;MA0007.3;MA0113.3;MA0727.1;MA1533.1;MA2323.1;MA2327.1;MA0007.4;MA1533.2;MA0113.4;MA0727.2,Ar;NR3C1;AR;NR3C1;Ar;NR3C1;NR3C2;NR1I2;Pgr;PGR;Ar;NR1I2;NR3C1;NR3C2,MA0113.3,14
51,MA0075.1;MA0875.1;MA0877.1;MA0875.2;MA0876.2;MA0879.3;MA1476.3;MA1498.3;MA0910.3;MA0700.3;MA0666.3;MA0708.3;MA0709.2;MA0125.2,Prrx2;BARX1;Barhl1;BARX1;BSX;DLX1;Dlx5;HOXA7;HOXD8;LHX2;MSX1;MSX2;Msx3;Nobox,MA0700.3,14
52,MA0119.1;MA0161.1;MA0670.1;MA0671.1;MA0161.2;MA1527.1;MA1528.1;MA1643.1;MA0670.2;MA1643.2;MA0161.3;MA1527.2;MA0671.2;MA1528.2,NFIC::TLX1;NFIC;NFIA;NFIX;NFIC;NFIC;NFIX;NFIB;NFIA;NFIB;NFIC;NFIC;NFIX;NFIX,MA1528.1,14
53,MA0650.1;MA0901.1;MA0909.1;MA0650.2;MA0909.2;MA0901.2;MA1963.1;MA0650.3;MA0909.3;MA0650.4;MA0901.3;MA0909.4;MA1963.2;MA2518.1,HOXA13;HOXB13;HOXD13;HOXA13;HOXD13;HOXB13;SATB1;Hoxa13;Hoxd13;Hoxa13;HOXB13;Hoxd13;SATB1;ZNF551,MA0909.1,14
54,MA0117.1;MA0495.1;MA0496.1;MA0659.1;MA0117.2;MA0842.1;MA0495.2;MA0496.2;MA0842.2;MA0495.3;MA0659.2;MA0117.3;MA0495.4;MA0842.3,Mafb;MAFF;MAFK;MAFG;Mafb;NRL;MAFF;MAFK;NRL;MAFF;MAFG;Mafb;MAFF;NRL,MA0495.3,14
55,MA0014.1;MA0069.1;MA0014.2;MA0779.1;MA0781.1;MA0014.3;MA0067.2;MA0779.2;MA0014.4;MA0781.2;MA0067.3;MA2094.1;MA0089.1,Pax5;PAX6;PAX5;PAX1;PAX9;PAX5;PAX2;PAX1;PAX5;PAX9;PAX2;PAX8;MAFG::NRF1,MA0014.3,13
56,MA0074.1;MA0512.1;MA0728.1;MA0729.1;MA0857.1;MA0859.1;MA0693.2;MA1573.1;MA0693.3;MA1573.2;MA0859.2;MA0693.4;MA2521.1,RXRA::VDR;Rxra;Nr2F6;RARA;Rarb;Rarg;VDR;THAP11;Vdr;Thap11;Rarg;Vdr;FIZ1,MA1573.1,13
57,MA0105.1;MA0101.1;MA0105.2;MA0107.1;MA0105.3;MA0105.4;MA0778.1;MA1117.1;MA0056.2;MA0056.3;MA0778.2;MA1117.2;MA2534.1,NFKB1;REL;NFKB1;RELA;NFKB1;NFKB1;NFKB2;RELB;MZF1;MZF1;NFKB2;RELB;ZNF831,MA0101.1,13
